,Rank,Program,Network,Rating
0,1,CSI: Crime Scene Investigation,CBS,15.9
1,2,American Idol — Tuesday,FOX,14.9
2,3,American Idol — Wednesday,FOX,14.1
3,4,Friends,NBC,13.6
4,5,The Apprentice,NBC,13.0
5,6,ER,NBC,12.9
6,7,Survivor,CBS,12.3
7,8,CSI: Miami,CBS,11.9
8,9,Monday Night Football,ABC,11.2
9,9,Everybody Loves Raymond,CBS,11.2
10,11,Without a Trace,CBS,11.1
11,12,Law & Order,NBC,10.8
12,13,Will & Grace,NBC,10.4
13,14,My Big Fat Obnoxious Fiance,FOX,9.9
14,14,Two and a Half Men,CBS,9.9
15,16,60 Minutes,CBS,9.4
16,17,Cold Case,CBS,9.3
17,18,Law & Order: Special Victims Unit,NBC,8.7
18,19,Crossing Jordan,NBC,8.6
19,19,Law & Order: Criminal Intent,NBC,8.6
20,21,The Bachelor/The Bachelorette,ABC,8.3
21,22,Fear Factor,NBC,7.9
22,23,The West Wing,NBC,7.8
23,23,CBS Sunday Movie,CBS,7.8
24,23,Navy: NCIS,CBS,7.8
25,26,Judging Amy,CBS,7.7
26,26,Still Standing,CBS,7.7
27,28,Las Vegas,NBC,7.6
28,29,Average Joe,NBC,7.4
29,30,Frasier,NBC,7.3
30,30,The King of Queens,CBS,7.3
